imb_id,rearing_year,host_plant,overall_survival,stage,duration,start,end,survival,total_degree_days,event,status
14SI015,2014,SIAL,Y,third,3,2014-06-07,2014-06-10,TRUE,17.529738095238095,progression4,1
14SI015,2014,SIAL,Y,fourth,5,2014-06-10,2014-06-15,TRUE,19.536327376327375,progression5,1
14SI015,2014,SIAL,Y,fifth,9,2014-06-15,2014-06-24,TRUE,35.5868096024346,progression6,1
14SI015,2014,SIAL,Y,pupa,366,2014-06-24,2015-06-25,TRUE,797.2473502419192,progression7,1
14SI016,2014,SIAL,Y,first,4,2014-06-09,2014-06-13,TRUE,20.07121794871795,progression2,1
14SI016,2014,SIAL,Y,second,9,2014-06-13,2014-06-22,TRUE,32.92274346024346,progression3,1
14SI016,2014,SIAL,Y,third,4,2014-06-22,2014-06-26,TRUE,22.583819444444444,progression4,1
14SI016,2014,SIAL,Y,fourth,4,2014-06-26,2014-06-30,TRUE,22.37462915335256,progression5,1
14SI016,2014,SIAL,Y,fifth,5,2014-06-30,2014-07-05,TRUE,33.170833333333334,progression6,1
14SI016,2014,SIAL,Y,pupa,329,2014-07-05,2015-05-30,TRUE,624.1169837153077,progression7,1
14SI017,2014,SIAL,Y,third,3,2014-06-07,2014-06-10,TRUE,17.529738095238095,progression4,1
14SI017,2014,SIAL,Y,fourth,4,2014-06-10,2014-06-14,TRUE,16.85114219114219,progression5,1
14SI017,2014,SIAL,Y,fifth,8,2014-06-14,2014-06-22,TRUE,28.607358844858844,progression6,1
14SI017,2014,SIAL,Y,pupa,344,2014-06-22,2015-06-01,TRUE,694.455392630565,progression7,1
14SI018,2014,SIAL,Y,pupa,351,2014-06-13,2015-05-30,TRUE,718.6953979955704,progression7,1
