imb_id,rearing_year,host_plant,collection_date,collection_stage,hatch_date,date_instar_2,date_instar_3,date_instar_4,date_instar_5,pupation_date,stage_at_death,release_year,eclosure_date,release_date,sex
15SI056,2015,SIAL,2015-06-09,fourth,NA,NA,NA,NA,2015-06-12,2015-06-20,NA,2016,2016-05-08,2016-05-08,NA
15SI057,2015,SIAL,2015-06-13,first,NA,NA,NA,NA,NA,NA,first,NA,NA,NA,NA
15SI058,2015,SIAL,2015-06-13,third,NA,NA,NA,2015-06-15,2015-06-20,2015-06-23,NA,2016,2016-05-13,2016-05-13,NA
15SI059,2015,SIAL,2015-06-17,third,NA,NA,NA,2015-06-20,2015-06-25,2015-06-30,NA,2016,2016-05-21,2016-05-22,NA
16BR027,2016,BRRA,2016-05-10,first,NA,2016-05-12,2016-05-13,2016-05-20,2016-05-27,2016-06-04,NA,2017,2017-05-18,2017-05-18,NA
16BR035,2016,BRRA,2016-05-10,first,NA,2016-05-14,2016-05-23,2016-05-28,2016-06-04,2016-06-07,NA,2017,2017-05-23,2017-05-23,NA
16BR038,2016,BRRA,2016-05-10,first,NA,2016-05-14,2016-05-17,2016-05-25,2016-05-30,2016-06-07,NA,2017,2017-05-21,2017-05-21,NA
16BR044,2016,BRRA,2016-05-10,first,NA,2016-05-14,2016-05-17,2016-05-25,2016-05-31,2016-06-09,NA,2017,2017-05-15,2017-05-16,NA
16BR047,2016,BRRA,2016-05-10,second,NA,NA,2016-05-26,2016-05-30,2016-06-05,2016-06-10,NA,2017,2017-05-21,2017-05-21,NA
16LE006,2016,LEVI,2016-05-25,second,NA,NA,2016-06-02,2016-06-07,2016-06-12,2016-06-18,NA,NA,NA,NA,NA
16LE007,2016,LEVI,2016-05-25,second,NA,NA,2016-06-06,2016-06-07,2016-06-12,2016-06-20,NA,2017,2017-05-15,2017-05-16,NA
16LE019,2016,LEVI,2016-06-11,first,NA,2016-06-17,2016-06-21,2016-06-26,2016-06-29,2016-07-07,NA,2017,2017-05-19,2017-05-19,NA
16LE020,2016,LEVI,2016-06-12,first,NA,2016-06-17,2016-06-21,2016-06-26,2016-06-30,2016-07-07,NA,2017,2017-05-18,2017-05-18,NA
16SI007,2016,SIAL,2016-05-02,first,NA,2016-05-06,2016-05-08,2016-05-12,2016-05-15,2016-05-28,NA,2017,2017-05-18,2017-05-18,NA
16SI014,2016,SIAL,2016-05-06,first,NA,2016-05-09,2016-05-14,2016-05-15,2016-05-25,2016-06-02,NA,2017,2017-05-10,2017-05-10,NA
16SI027,2016,SIAL,2016-05-10,first,NA,2016-05-13,2016-05-15,2016-05-17,2016-05-26,2016-06-04,NA,2017,2017-05-15,2017-05-16,NA
16SI041,2016,SIAL,2016-05-18,first,NA,NA,NA,NA,NA,NA,first,NA,NA,NA,NA
