,date,min,max,avg,range
357,2015-12-04,48,72,60.41666667,24
358,2015-12-05,47,72,59.77083333,25
359,2015-12-06,48,72,60.72916667,24
360,2015-12-07,49,72,60.35416667,23
361,2015-12-08,48,72,60.83333333,24
362,2015-12-09,48,72,60.4375,24
363,2015-12-10,47,72,59.47916667,25
364,2015-12-11,45,72,58.85416667,27
365,2015-12-12,43,72,57.6875,29
366,2015-12-13,45,72,58.33333333,27
367,2015-12-14,42,72,57.60416667,30
368,2015-12-15,40,71,55.77083333,31
369,2015-12-16,39,74,56.54166667,35
370,2015-12-17,38,74,56.08333333,36
371,2015-12-18,40,75,58.52083333,35
372,2015-12-19,41,75,58.39583333,34
373,2015-12-20,43,75,59.29166667,32
374,2015-12-21,41,75,57.875,34
375,2015-12-22,38,75,56.875,37
376,2015-12-23,39,74,56.79166667,35
377,2015-12-24,40,74,57.04166667,34
378,2015-12-25,38,74,56.02083333,36
379,2015-12-26,36,74,55.1875,38
380,2015-12-27,39,74,56.66666667,35
381,2015-12-28,39,75,56.41666667,36
382,2015-12-29,38,73,54.75,35
383,2015-12-30,34,73,54.27083333,39
384,2015-12-31,31,73,53.3125,42
385,2016-01-01,32,73,53.79166667,41
386,2016-01-02,33,74,54.22916667,41
387,2016-01-03,33,72,53.64583333,39
388,2016-01-04,37,72,54.16666667,35
389,2016-01-05,37,73,54.83333333,36
390,2016-01-06,39,74,57.79166667,35
391,2016-01-07,40,74,56.97916667,34
392,2016-01-08,41,71,56.72916667,30
393,2016-01-09,37,74,56.60416667,37
394,2016-01-10,41,71,57.95833333,30
395,2016-01-11,38,73,55.5,35
396,2016-01-12,43,72,57.91666667,29
397,2016-01-13,46,71,58.85416667,25
398,2016-01-14,44,75,59.5625,31
399,2016-01-15,40,72,56.47916667,32
400,2016-01-16,43,71,58.33333333,28
401,2016-01-17,47,71,59.22916667,24
402,2016-01-18,46,71,58.66666667,25
403,2016-01-19,45,71,58.75,26
404,2016-01-20,44,71,57.95833333,27
405,2016-01-21,45,71,58.875,26
406,2016-01-22,50,74,61.25,24
407,2016-01-23,46,71,58.97916667,25
408,2016-01-24,44,71,58.4375,27
409,2016-01-25,41,75,57.77083333,34
410,2016-01-26,44,76,59.9375,32
411,2016-01-27,50,71,60.60416667,21
412,2016-01-28,51,71,61.3125,20
413,2016-01-29,46,73,59.35416667,27
414,2016-01-30,42,71,57.33333333,29
415,2016-01-31,41,71,56.20833333,30
416,2016-02-01,39,71,56,32
417,2016-02-02,41,71,57.45833333,30
418,2016-02-03,43,74,57.97916667,31
419,2016-02-04,44,74,59.02083333,30
420,2016-02-05,46,74,60.47916667,28
421,2016-02-06,45,74,59.6875,29
422,2016-02-07,41,74,58.4375,33
423,2016-02-08,44,74,60.41666667,30
424,2016-02-09,46,71,60.375,25
425,2016-02-10,46,70,58.72916667,24
426,2016-02-11,46,70,57.95833333,24
